code,description,hours_pp,hours_ytd,amount_pp,amount_ytd,pay_period
78,ST TAX MD EXEMPTS S00,,,274.72,838.9,"2015,24"
83,FEHBA - ENROLL CODE E34,,,45.38,"1,089.12","2015,24"
88,CHKING/SAVING ********,,,14,364,"2015,24"
97,MEDICARE TAX WITHHELD,,,52.33,845.05,"2015,24"
1,REGULAR TIME,20,20,610.6,610.6,"2015,25"
50,CREDIT HOURS,21.5,21.5,656.4,656.4,"2015,25"
61,ANNUAL LEAVE,26.5,26.5,809.04,809.04,"2015,25"
66,OTHER LEAVE,12,12,366.36,366.36,"2015,25"
75,RETIREMENT,,,107.47,107.47,"2015,25"
75,ROTH TSP-FERS,,,122.12,122.12,"2015,25"
76,SOCIAL SECURITY (OASDI),,,151.43,151.43,"2015,25"
77,FEDERAL TAX EXEMPTS S01,,,387.38,387.38,"2015,25"
78,ST TAX MD EXEMPTS S00,,,188.06,188.06,"2015,25"
83,FEHBA - ENROLL CODE E34,,,45.38,45.38,"2015,25"
88,CHKING/SAVING ********,,,14,14,"2015,25"
97,MEDICARE TAX WITHHELD,,,35.41,35.41,"2015,25"
1,REGULAR TIME,69.25,89.25,"2,114.20","2,724.80","2015,26"
50,CREDIT HOURS,,21.5,,656.4,"2015,26"
61,ANNUAL LEAVE,,26.5,,809.04,"2015,26"
66,OTHER LEAVE,10.75,22.75,328.2,694.56,"2015,26"
75,RETIREMENT,,,107.47,214.94,"2015,26"
75,ROTH TSP-FERS,,,122.12,244.24,"2015,26"
76,SOCIAL SECURITY (OASDI),,,151.43,302.86,"2015,26"
77,FEDERAL TAX EXEMPTS S01,,,387.38,774.76,"2015,26"
78,ST TAX MD EXEMPTS S00,,,188.06,376.12,"2015,26"
83,FEHBA - ENROLL CODE E34,,,45.38,90.76,"2015,26"
88,CHKING/SAVING ********,,,14,28,"2015,26"
97,MEDICARE TAX WITHHELD,,,35.41,70.82,"2015,26"
1,REGULAR TIME,64.75,154,"2,005.95","4,730.75","2016,01"
50,CREDIT HOURS,,21.5,,656.4,"2016,01"
61,ANNUAL LEAVE,,26.5,,809.04,"2016,01"
62,SICK LEAVE,1.75,1.75,54.22,54.22,"2016,01"
66,OTHER LEAVE,13.5,36.25,418.23,"1,112.79","2016,01"
75,RETIREMENT,,,109.05,323.99,"2016,01"
75,ROTH TSP-FERS,,,123.92,368.16,"2016,01"
76,SOCIAL SECURITY (OASDI),,,152.7,455.56,"2016,01"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"1,167.26","2016,01"
78,ST TAX MD EXEMPTS S00,,,189.68,565.8,"2016,01"
83,FEHBA - ENROLL CODE E34,,,53.74,144.5,"2016,01"
83,DENTAL PLAN,,,15.53,15.53,"2016,01"
88,CHKING/SAVING ********,,,14,42,"2016,01"
97,MEDICARE TAX WITHHELD,,,35.71,106.53,"2016,01"
1,REGULAR TIME,59,213,"1,827.82","6,558.57","2016,02"
50,CREDIT HOURS,,21.5,,656.4,"2016,02"
61,ANNUAL LEAVE,,26.5,,809.04,"2016,02"
62,SICK LEAVE,,1.75,,54.22,"2016,02"
66,OTHER LEAVE,21,57.25,650.58,"1,763.37","2016,02"
75,RETIREMENT,,,109.05,433.04,"2016,02"
75,ROTH TSP-FERS,,,123.92,492.08,"2016,02"
76,SOCIAL SECURITY (OASDI),,,152.7,608.26,"2016,02"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"1,559.76","2016,02"
78,ST TAX MD EXEMPTS S00,,,189.68,755.48,"2016,02"
83,FEHBA - ENROLL CODE E34,,,53.74,198.24,"2016,02"
83,DENTAL PLAN,,,15.53,31.06,"2016,02"
88,CHKING/SAVING ********,,,14,56,"2016,02"
97,MEDICARE TAX WITHHELD,,,35.71,142.24,"2016,02"
1,REGULAR TIME,57.75,270.75,"1,789.09","8,347.66","2016,03"
50,CREDIT HOURS,12,33.5,371.76,"1,028.16","2016,03"
61,ANNUAL LEAVE,,26.5,,809.04,"2016,03"
62,SICK LEAVE,,1.75,,54.22,"2016,03"
66,OTHER LEAVE,10.25,67.5,317.55,"2,080.92","2016,03"
75,RETIREMENT,,,109.05,542.09,"2016,03"
75,ROTH TSP-FERS,,,123.92,616,"2016,03"
76,SOCIAL SECURITY (OASDI),,,152.7,760.96,"2016,03"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"1,952.26","2016,03"
78,ST TAX MD EXEMPTS S00,,,189.68,945.16,"2016,03"
83,FEHBA - ENROLL CODE E34,,,53.74,251.98,"2016,03"
83,DENTAL PLAN,,,15.53,46.59,"2016,03"
88,CHKING/SAVING ********,,,14,70,"2016,03"
97,MEDICARE TAX WITHHELD,,,35.71,177.95,"2016,03"
1,REGULAR TIME,80,350.75,"2,478.40","10,826.06","2016,04"
50,CREDIT HOURS,,33.5,,"1,028.16","2016,04"
61,ANNUAL LEAVE,,26.5,,809.04,"2016,04"
62,SICK LEAVE,,1.75,,54.22,"2016,04"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,04"
75,RETIREMENT,,,109.05,651.14,"2016,04"
75,ROTH TSP-FERS,,,123.92,739.92,"2016,04"
76,SOCIAL SECURITY (OASDI),,,152.7,913.66,"2016,04"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"2,344.76","2016,04"
78,ST TAX MD EXEMPTS S00,,,189.68,"1,134.84","2016,04"
83,FEHBA - ENROLL CODE E34,,,53.74,305.72,"2016,04"
83,DENTAL PLAN,,,15.53,62.12,"2016,04"
88,CHKING/SAVING ********,,,14,84,"2016,04"
97,MEDICARE TAX WITHHELD,,,35.71,213.66,"2016,04"
1,REGULAR TIME,15.5,366.25,480.19,"11,306.25","2016,05"
50,CREDIT HOURS,16.5,50,511.17,"1,539.33","2016,05"
61,ANNUAL LEAVE,48,74.5,"1,487.04","2,296.08","2016,05"
62,SICK LEAVE,,1.75,,54.22,"2016,05"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,05"
75,RETIREMENT,,,109.05,760.19,"2016,05"
75,ROTH TSP-FERS,,,123.92,863.84,"2016,05"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,066.36","2016,05"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"2,737.26","2016,05"
78,ST TAX MD EXEMPTS S00,,,189.68,"1,324.52","2016,05"
83,FEHBA - ENROLL CODE E34,,,53.74,359.46,"2016,05"
83,DENTAL PLAN,,,15.53,77.65,"2016,05"
88,CHKING/SAVING ********,,,14,98,"2016,05"
97,MEDICARE TAX WITHHELD,,,35.71,249.37,"2016,05"
1,REGULAR TIME,40,406.25,"1,239.20","12,545.45","2016,06"
50,CREDIT HOURS,,50,,"1,539.33","2016,06"
61,ANNUAL LEAVE,40,114.5,"1,239.20","3,535.28","2016,06"
62,SICK LEAVE,,1.75,,54.22,"2016,06"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,06"
75,RETIREMENT,,,109.05,869.24,"2016,06"
75,ROTH TSP-FERS,,,123.92,987.76,"2016,06"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,219.06","2016,06"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"3,129.76","2016,06"
78,ST TAX MD EXEMPTS S00,,,189.68,"1,514.20","2016,06"
83,FEHBA - ENROLL CODE E34,,,53.74,413.2,"2016,06"
83,DENTAL PLAN,,,15.53,93.18,"2016,06"
88,CHKING/SAVING ********,,,14,112,"2016,06"
97,MEDICARE TAX WITHHELD,,,35.71,285.08,"2016,06"
1,REGULAR TIME,80,486.25,"2,478.40","15,023.85","2016,07"
50,CREDIT HOURS,,50,,"1,539.33","2016,07"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,07"
62,SICK LEAVE,,1.75,,54.22,"2016,07"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,07"
75,RETIREMENT,,,109.05,978.29,"2016,07"
75,ROTH TSP-FERS,,,123.92,"1,111.68","2016,07"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,371.76","2016,07"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"3,522.26","2016,07"
78,ST TAX MD EXEMPTS S00,,,189.68,"1,703.88","2016,07"
83,FEHBA - ENROLL CODE E34,,,53.74,466.94,"2016,07"
83,DENTAL PLAN,,,15.53,108.71,"2016,07"
88,CHKING/SAVING ********,,,14,126,"2016,07"
97,MEDICARE TAX WITHHELD,,,35.71,320.79,"2016,07"
1,REGULAR TIME,80,566.25,"2,478.40","17,502.25","2016,08"
50,CREDIT HOURS,,50,,"1,539.33","2016,08"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,08"
62,SICK LEAVE,,1.75,,54.22,"2016,08"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,08"
75,RETIREMENT,,,109.05,"1,087.34","2016,08"
75,ROTH TSP-FERS,,,123.92,"1,235.60","2016,08"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,524.46","2016,08"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"3,914.76","2016,08"
78,ST TAX MD EXEMPTS S00,,,189.68,"1,893.56","2016,08"
83,FEHBA - ENROLL CODE E34,,,53.74,520.68,"2016,08"
83,DENTAL PLAN,,,15.53,124.24,"2016,08"
88,CHKING/SAVING ********,,,14,140,"2016,08"
97,MEDICARE TAX WITHHELD,,,35.71,356.5,"2016,08"
1,REGULAR TIME,80,646.25,"2,478.40","19,980.65","2016,09"
50,CREDIT HOURS,,50,,"1,539.33","2016,09"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,09"
62,SICK LEAVE,,1.75,,54.22,"2016,09"
66,OTHER LEAVE,,67.5,,"2,080.92","2016,09"
75,RETIREMENT,,,109.05,"1,196.39","2016,09"
75,ROTH TSP-FERS,,,123.92,"1,359.52","2016,09"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,677.16","2016,09"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"4,307.26","2016,09"
78,ST TAX MD EXEMPTS S00,,,189.68,"2,083.24","2016,09"
83,FEHBA - ENROLL CODE E34,,,53.74,574.42,"2016,09"
83,DENTAL PLAN,,,15.53,139.77,"2016,09"
88,CHKING/SAVING ********,,,14,154,"2016,09"
97,MEDICARE TAX WITHHELD,,,35.71,392.21,"2016,09"
1,REGULAR TIME,78.25,724.5,"2,424.18","22,404.83","2016,10"
50,CREDIT HOURS,,50,,"1,539.33","2016,10"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,10"
62,SICK LEAVE,,1.75,,54.22,"2016,10"
66,OTHER LEAVE,1.75,69.25,54.22,"2,135.14","2016,10"
75,RETIREMENT,,,109.05,"1,305.44","2016,10"
75,ROTH TSP-FERS,,,123.92,"1,483.44","2016,10"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,829.86","2016,10"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"4,699.76","2016,10"
78,ST TAX MD EXEMPTS S00,,,189.68,"2,272.92","2016,10"
83,FEHBA - ENROLL CODE E34,,,53.74,628.16,"2016,10"
83,DENTAL PLAN,,,15.53,155.3,"2016,10"
88,CHKING/SAVING ********,,,14,168,"2016,10"
97,MEDICARE TAX WITHHELD,,,35.71,427.92,"2016,10"
1,REGULAR TIME,62.5,787,"1,936.25","24,341.08","2016,11"
50,CREDIT HOURS,9.5,59.5,294.31,"1,833.64","2016,11"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,11"
62,SICK LEAVE,,1.75,,54.22,"2016,11"
66,OTHER LEAVE,8,77.25,247.84,"2,382.98","2016,11"
75,RETIREMENT,,,109.05,"1,414.49","2016,11"
75,ROTH TSP-FERS,,,123.92,"1,607.36","2016,11"
76,SOCIAL SECURITY (OASDI),,,152.7,"1,982.56","2016,11"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"5,092.26","2016,11"
78,ST TAX MD EXEMPTS S00,,,189.68,"2,462.60","2016,11"
83,FEHBA - ENROLL CODE E34,,,53.74,681.9,"2016,11"
83,DENTAL PLAN,,,15.53,170.83,"2016,11"
88,CHKING/SAVING ********,,,14,182,"2016,11"
97,MEDICARE TAX WITHHELD,,,35.71,463.63,"2016,11"
1,REGULAR TIME,77.5,864.5,"2,400.95","26,742.03","2016,12"
50,CREDIT HOURS,2.5,62,77.45,"1,911.09","2016,12"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,12"
62,SICK LEAVE,,1.75,,54.22,"2016,12"
66,OTHER LEAVE,,77.25,,"2,382.98","2016,12"
75,RETIREMENT,,,109.05,"1,523.54","2016,12"
75,ROTH TSP-FERS,,,123.92,"1,731.28","2016,12"
76,SOCIAL SECURITY (OASDI),,,152.7,"2,135.26","2016,12"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"5,484.76","2016,12"
78,ST TAX MD EXEMPTS S00,,,189.68,"2,652.28","2016,12"
83,FEHBA - ENROLL CODE E34,,,53.74,735.64,"2016,12"
83,DENTAL PLAN,,,15.53,186.36,"2016,12"
88,CHKING/SAVING ********,,,14,196,"2016,12"
97,MEDICARE TAX WITHHELD,,,35.71,499.34,"2016,12"
1,REGULAR TIME,67,931.5,"2,075.66","28,817.69","2016,13"
50,CREDIT HOURS,3,65,92.94,"2,004.03","2016,13"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,13"
62,SICK LEAVE,,1.75,,54.22,"2016,13"
66,OTHER LEAVE,10,87.25,309.8,"2,692.78","2016,13"
75,RETIREMENT,,,109.05,"1,632.59","2016,13"
75,ROTH TSP-FERS,,,123.92,"1,855.20","2016,13"
76,SOCIAL SECURITY (OASDI),,,152.7,"2,287.96","2016,13"
77,FEDERAL TAX EXEMPTS S01,,,392.5,"5,877.26","2016,13"
78,ST TAX MD EXEMPTS S00,,,189.68,"2,841.96","2016,13"
83,FEHBA - ENROLL CODE E34,,,53.74,789.38,"2016,13"
83,DENTAL PLAN,,,15.53,201.89,"2016,13"
88,CHKING/SAVING ********,,,14,210,"2016,13"
97,MEDICARE TAX WITHHELD,,,35.71,535.05,"2016,13"
1,REGULAR TIME,80,"1,011.50","2,970.40","31,788.09","2016,14"
50,CREDIT HOURS,,65,,"2,004.03","2016,14"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,14"
62,SICK LEAVE,,1.75,,54.22,"2016,14"
66,OTHER LEAVE,,87.25,,"2,692.78","2016,14"
75,RETIREMENT,,,130.7,"1,763.29","2016,14"
75,ROTH TSP-FERS,,,148.52,"2,003.72","2016,14"
76,SOCIAL SECURITY (OASDI),,,183.2,"2,471.16","2016,14"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"6,392.76","2016,14"
78,ST TAX MD EXEMPTS S00,,,228.8,"3,070.76","2016,14"
83,FEHBA - ENROLL CODE E34,,,53.74,843.12,"2016,14"
83,DENTAL PLAN,,,15.53,217.42,"2016,14"
88,CHKING/SAVING ********,,,14,224,"2016,14"
97,MEDICARE TAX WITHHELD,,,42.85,577.9,"2016,14"
1,REGULAR TIME,80,"1,091.50","2,970.40","34,758.49","2016,15"
50,CREDIT HOURS,,65,,"2,004.03","2016,15"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,15"
62,SICK LEAVE,,1.75,,54.22,"2016,15"
66,OTHER LEAVE,,87.25,,"2,692.78","2016,15"
75,RETIREMENT,,,130.7,"1,893.99","2016,15"
75,ROTH TSP-FERS,,,148.52,"2,152.24","2016,15"
76,SOCIAL SECURITY (OASDI),,,183.2,"2,654.36","2016,15"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"6,908.26","2016,15"
78,ST TAX MD EXEMPTS S00,,,228.8,"3,299.56","2016,15"
83,FEHBA - ENROLL CODE E34,,,53.74,896.86,"2016,15"
83,DENTAL PLAN,,,15.53,232.95,"2016,15"
88,CHKING/SAVING ********,,,14,238,"2016,15"
97,MEDICARE TAX WITHHELD,,,42.85,620.75,"2016,15"
1,REGULAR TIME,78.25,"1,169.75","2,905.42","37,663.91","2016,16"
50,CREDIT HOURS,1.75,66.75,64.98,"2,069.01","2016,16"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,16"
62,SICK LEAVE,,1.75,,54.22,"2016,16"
66,OTHER LEAVE,,87.25,,"2,692.78","2016,16"
75,RETIREMENT,,,130.7,"2,024.69","2016,16"
75,ROTH TSP-FERS,,,148.52,"2,300.76","2016,16"
76,SOCIAL SECURITY (OASDI),,,183.2,"2,837.56","2016,16"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"7,423.76","2016,16"
78,ST TAX MD EXEMPTS S00,,,228.8,"3,528.36","2016,16"
83,FEHBA - ENROLL CODE E34,,,53.74,950.6,"2016,16"
83,DENTAL PLAN,,,15.53,248.48,"2016,16"
88,CHKING/SAVING ********,,,14,252,"2016,16"
97,MEDICARE TAX WITHHELD,,,42.85,663.6,"2016,16"
1,REGULAR TIME,78,"1,247.75","2,896.14","40,560.05","2016,17"
50,CREDIT HOURS,,66.75,,"2,069.01","2016,17"
61,ANNUAL LEAVE,,114.5,,"3,535.28","2016,17"
62,SICK LEAVE,,1.75,,54.22,"2016,17"
66,OTHER LEAVE,2,89.25,74.26,"2,767.04","2016,17"
75,RETIREMENT,,,130.7,"2,155.39","2016,17"
75,ROTH TSP-FERS,,,148.52,"2,449.28","2016,17"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,020.76","2016,17"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"7,939.26","2016,17"
78,ST TAX MD EXEMPTS S00,,,228.8,"3,757.16","2016,17"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,004.34","2016,17"
83,DENTAL PLAN,,,15.53,264.01,"2016,17"
88,CHKING/SAVING ********,,,14,266,"2016,17"
97,MEDICARE TAX WITHHELD,,,42.85,706.45,"2016,17"
1,REGULAR TIME,40,"1,287.75","1,485.20","42,045.25","2016,18"
50,CREDIT HOURS,16,82.75,594.08,"2,663.09","2016,18"
61,ANNUAL LEAVE,16,130.5,594.08,"4,129.36","2016,18"
62,SICK LEAVE,,1.75,,54.22,"2016,18"
66,OTHER LEAVE,8,97.25,297.04,"3,064.08","2016,18"
75,RETIREMENT,,,130.7,"2,286.09","2016,18"
75,ROTH TSP-FERS,,,148.52,"2,597.80","2016,18"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,203.96","2016,18"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"8,454.76","2016,18"
78,ST TAX MD EXEMPTS S00,,,228.8,"3,985.96","2016,18"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,058.08","2016,18"
83,DENTAL PLAN,,,15.53,279.54,"2016,18"
88,CHKING/SAVING ********,,,14,280,"2016,18"
97,MEDICARE TAX WITHHELD,,,42.85,749.3,"2016,18"
1,REGULAR TIME,72,"1,359.75","2,673.36","44,718.61","2016,19"
50,CREDIT HOURS,,82.75,,"2,663.09","2016,19"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,19"
62,SICK LEAVE,8,9.75,297.04,351.26,"2016,19"
66,OTHER LEAVE,,97.25,,"3,064.08","2016,19"
75,RETIREMENT,,,130.7,"2,416.79","2016,19"
75,ROTH TSP-FERS,,,148.52,"2,746.32","2016,19"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,387.16","2016,19"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"8,970.26","2016,19"
78,ST TAX MD EXEMPTS S00,,,228.8,"4,214.76","2016,19"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,111.82","2016,19"
83,DENTAL PLAN,,,15.53,295.07,"2016,19"
88,CHKING/SAVING ********,,,14,294,"2016,19"
97,MEDICARE TAX WITHHELD,,,42.85,792.15,"2016,19"
1,REGULAR TIME,72,"1,431.75","2,673.36","47,391.97","2016,20"
50,CREDIT HOURS,,82.75,,"2,663.09","2016,20"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,20"
62,SICK LEAVE,,9.75,,351.26,"2016,20"
66,OTHER LEAVE,8,105.25,297.04,"3,361.12","2016,20"
75,RETIREMENT,,,130.7,"2,547.49","2016,20"
75,ROTH TSP-FERS,,,148.52,"2,894.84","2016,20"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,570.36","2016,20"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"9,485.76","2016,20"
78,ST TAX MD EXEMPTS S00,,,228.8,"4,443.56","2016,20"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,165.56","2016,20"
83,DENTAL PLAN,,,15.53,310.6,"2016,20"
88,CHKING/SAVING ********,,,14,308,"2016,20"
97,MEDICARE TAX WITHHELD,,,42.85,835,"2016,20"
1,REGULAR TIME,80,"1,511.75","2,970.40","50,362.37","2016,21"
50,CREDIT HOURS,,82.75,,"2,663.09","2016,21"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,21"
62,SICK LEAVE,,9.75,,351.26,"2016,21"
66,OTHER LEAVE,,105.25,,"3,361.12","2016,21"
75,RETIREMENT,,,130.7,"2,678.19","2016,21"
75,ROTH TSP-FERS,,,148.52,"3,043.36","2016,21"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,753.56","2016,21"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"10,001.26","2016,21"
78,ST TAX MD EXEMPTS S00,,,228.8,"4,672.36","2016,21"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,219.30","2016,21"
83,DENTAL PLAN,,,15.53,326.13,"2016,21"
88,CHKING/SAVING ********,,,14,322,"2016,21"
97,MEDICARE TAX WITHHELD,,,42.85,877.85,"2016,21"
1,REGULAR TIME,71.75,"1,583.50","2,664.08","53,026.45","2016,22"
50,CREDIT HOURS,0.25,83,9.28,"2,672.37","2016,22"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,22"
62,SICK LEAVE,,9.75,,351.26,"2016,22"
66,OTHER LEAVE,8,113.25,297.04,"3,658.16","2016,22"
75,RETIREMENT,,,130.7,"2,808.89","2016,22"
75,ROTH TSP-FERS,,,148.52,"3,191.88","2016,22"
76,SOCIAL SECURITY (OASDI),,,183.2,"3,936.76","2016,22"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"10,516.76","2016,22"
78,ST TAX MD EXEMPTS S00,,,228.8,"4,901.16","2016,22"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,273.04","2016,22"
83,DENTAL PLAN,,,15.53,341.66,"2016,22"
88,CHKING/SAVING ********,,,14,336,"2016,22"
97,MEDICARE TAX WITHHELD,,,42.85,920.7,"2016,22"
1,REGULAR TIME,65,"1,648.50","2,413.44","55,439.89","2016,23"
44,CASH AWARD,,,"1,652.00","1,652.00","2016,23"
50,CREDIT HOURS,1.75,84.75,64.98,"2,737.35","2016,23"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,23"
62,SICK LEAVE,2.5,12.25,92.83,444.09,"2016,23"
66,OTHER LEAVE,10.75,124,399.15,"4,057.31","2016,23"
75,RETIREMENT,,,130.7,"2,939.59","2016,23"
75,ROTH TSP-FERS,,,148.52,"3,340.40","2016,23"
76,SOCIAL SECURITY (OASDI),,,285.62,"4,222.38","2016,23"
77,FEDERAL TAX EXEMPTS S01,,,928.5,"11,445.26","2016,23"
78,ST TAX MD EXEMPTS S00,,,354.02,"5,255.18","2016,23"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,326.78","2016,23"
83,DENTAL PLAN,,,15.53,357.19,"2016,23"
88,CHKING/SAVING ********,,,14,350,"2016,23"
97,MEDICARE TAX WITHHELD,,,66.8,987.5,"2016,23"
1,REGULAR TIME,80,"1,728.50","2,970.40","58,410.29","2016,24"
44,CASH AWARD,,,,"1,652.00","2016,24"
50,CREDIT HOURS,,84.75,,"2,737.35","2016,24"
61,ANNUAL LEAVE,,130.5,,"4,129.36","2016,24"
62,SICK LEAVE,,12.25,,444.09,"2016,24"
66,OTHER LEAVE,,124,,"4,057.31","2016,24"
75,RETIREMENT,,,130.7,"3,070.29","2016,24"
75,ROTH TSP-FERS,,,148.52,"3,488.92","2016,24"
76,SOCIAL SECURITY (OASDI),,,183.2,"4,405.58","2016,24"
77,FEDERAL TAX EXEMPTS S01,,,515.5,"11,960.76","2016,24"
78,ST TAX MD EXEMPTS S00,,,228.8,"5,483.98","2016,24"
83,FEHBA - ENROLL CODE E34,,,53.74,"1,380.52","2016,24"
83,DENTAL PLAN,,,15.53,372.72,"2016,24"
88,CHKING/SAVING ********,,,14,364,"2016,24"
97,MEDICARE TAX WITHHELD,,,42.85,"1,030.35","2016,24"
1,REGULAR TIME,74.75,74.75,"2,775.47","2,775.47","2016,25"
50,CREDIT HOURS,2.25,2.25,83.54,83.54,"2016,25"
66,OTHER LEAVE,3,3,111.39,111.39,"2016,25"
75,RETIREMENT,,,130.7,130.7,"2016,25"
75,ROTH TSP-FERS,,,148.52,148.52,"2016,25"
76,SS (OASDI) RATE CHANGE,,,183.2,183.2,"2016,25"
77,FEDERAL TAX EXEMPTS S01,,,513.77,513.77,"2016,25"
78,ST TAX MD EXEMPTS S00,,,228.8,228.8,"2016,25"
83,FEHBA - ENROLL CODE E34,,,53.74,53.74,"2016,25"
83,DENTAL PLAN,,,15.53,15.53,"2016,25"
88,CHKING/SAVING ********,,,14,14,"2016,25"
97,MEDICARE TAX WITHHELD,,,42.85,42.85,"2016,25"
1,REGULAR TIME,28,102.75,"1,039.64","3,815.11","2016,26"
50,CREDIT HOURS,12.75,15,473.41,556.95,"2016,26"
61,ANNUAL LEAVE,22,22,816.86,816.86,"2016,26"
66,OTHER LEAVE,17.25,20.25,640.49,751.88,"2016,26"
75,RETIREMENT,,,130.7,261.4,"2016,26"
75,ROTH TSP-FERS,,,148.52,297.04,"2016,26"
76,SOCIAL SECURITY (OASDI),,,183.2,366.4,"2016,26"
77,FEDERAL TAX EXEMPTS S01,,,513.77,"1,027.54","2016,26"
78,ST TAX MD EXEMPTS S00,,,228.8,457.6,"2016,26"
83,FEHBA - ENROLL CODE E34,,,53.74,107.48,"2016,26"
83,DENTAL PLAN,,,15.53,31.06,"2016,26"
88,CHKING/SAVING ********,,,14,28,"2016,26"
97,MEDICARE TAX WITHHELD,,,42.85,85.7,"2016,26"
1,REGULAR TIME,64,166.75,"2,444.80","6,259.91","2017,01"
50,CREDIT HOURS,,15,,556.95,"2017,01"
61,ANNUAL LEAVE,,22,,816.86,"2017,01"
66,OTHER LEAVE,16,36.25,611.2,"1,363.08","2017,01"
75,RETIREMENT,,,134.46,395.86,"2017,01"
75,ROTH TSP-FERS,,,152.8,449.84,"2017,01"
76,SOCIAL SECURITY (OASDI),,,188.48,554.88,"2017,01"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"1,562.59","2017,01"
78,ST TAX MD EXEMPTS S00,,,235.57,693.17,"2017,01"
83,FEHBA - ENROLL CODE E34,,,55.85,163.33,"2017,01"
83,DENTAL PLAN,,,15.98,47.04,"2017,01"
88,CHKING/SAVING ********,,,14,42,"2017,01"
97,MEDICARE TAX WITHHELD,,,44.08,129.78,"2017,01"
1,REGULAR TIME,71.75,238.5,"2,740.85","9,000.76","2017,02"
50,CREDIT HOURS,8.25,23.25,315.15,872.1,"2017,02"
61,ANNUAL LEAVE,,22,,816.86,"2017,02"
66,OTHER LEAVE,,36.25,,"1,363.08","2017,02"
75,RETIREMENT,,,134.46,530.32,"2017,02"
75,ROTH TSP-FERS,,,152.8,602.64,"2017,02"
76,SOCIAL SECURITY (OASDI),,,188.48,743.36,"2017,02"
77,FEDERAL TAX EXEMPTS S01,,,535.05,"2,097.64","2017,02"
78,ST TAX MD EXEMPTS S00,,,235.57,928.74,"2017,02"
83,FEHBA - ENROLL CODE E34,,,55.85,219.18,"2017,02"
83,DENTAL PLAN,,,15.98,63.02,"2017,02"
88,CHKING/SAVING ********,,,14,56,"2017,02"
97,MEDICARE TAX WITHHELD,,,44.08,173.86,"2017,02"
1,REGULAR TIME,80,318.5,"3,056.00","12,056.76","2017,03"
